Number of words,1917163
Number of unique words,15608
Average word frequency,122.832073
Entropy,6.701858

Word,Frequency,Proportion,Entropy Term
give,1212,0.000632,0.004657
job,1025,0.000535,0.004028
however,176,0.000092,0.000853
handy,6,0.000003,0.000040
comes,382,0.000199,0.001698
reeking,4,0.000002,0.000027
perfume,9,0.000005,0.000058
emergency,94,0.000049,0.000487
meeting,500,0.000261,0.002152
approved,87,0.000045,0.000454
hold,182,0.000095,0.000879
position,130,0.000068,0.000651
administration,442,0.000231,0.001931
held,435,0.000227,0.001904
okay,677,0.000353,0.002807
except,215,0.000112,0.001020
j,30,0.000016,0.000173
edgar,14,0.000007,0.000086
question,466,0.000243,0.002023
why,1640,0.000855,0.006043
anybody,487,0.000254,0.002103
cabinet,165,0.000086,0.000806
ten,924,0.000482,0.003681
friends,335,0.000175,0.001512
brought,198,0.000103,0.000948
arkansas,177,0.000092,0.000858
four,741,0.000387,0.003037
fired,242,0.000126,0.001133
forced,150,0.000078,0.000740
resign,110,0.000057,0.000560
committed,49,0.000026,0.000270
suicide,108,0.000056,0.000551
realize,236,0.000123,0.001108
safer,25,0.000013,0.000147
dating,121,0.000063,0.000610
oj,80,0.000042,0.000421
los,372,0.000194,0.001659
angeles,305,0.000159,0.001391
doctor,175,0.000091,0.000849
problems,365,0.000190,0.001631
puts,72,0.000038,0.000383
too,1170,0.000610,0.004517
strain,10,0.000005,0.000063
throat,29,0.000015,0.000168
speaks,60,0.000031,0.000325
should,1497,0.000781,0.005587
try,548,0.000286,0.002332
mouth,111,0.000058,0.000565
little,1471,0.000767,0.005503
playing,262,0.000137,0.001216
current,158,0.000082,0.000775
events,84,0.000044,0.000440
qa,6,0.000003,0.000040
spectator,3,0.000002,0.000021
what,7434,0.003878,0.021531
does,1065,0.000556,0.004164
anthony,140,0.000073,0.000696
lake,37,0.000019,0.000210
hope,354,0.000185,0.001587
accomplish,24,0.000013,0.000141
cia,270,0.000141,0.001249
chief,205,0.000107,0.000978
caught,346,0.000180,0.001556
youre,1528,0.000797,0.005686
coming,864,0.000451,0.003472
around,1017,0.000530,0.004001
answer,156,0.000081,0.000766
looking,763,0.000398,0.003116
nail,38,0.000020,0.000215
babe,16,0.000008,0.000098
x,10,0.000005,0.000063
made,1413,0.000737,0.005316
nominating,14,0.000007,0.000086
female,185,0.000096,0.000892
dont,4171,0.002176,0.013337
surprised,171,0.000089,0.000832
choice,201,0.000105,0.000961
whos,498,0.000260,0.002145
better,684,0.000357,0.002832
positions,51,0.000027,0.000280
than,1997,0.001042,0.007153
weekend,1308,0.000682,0.004974
kind,1346,0.000702,0.005098
senator,992,0.000517,0.003915
nancy,160,0.000083,0.000784
republican,1622,0.000846,0.005986
howard,190,0.000099,0.000914
baker,5,0.000003,0.000034
nice,767,0.000400,0.003130
uhhuh,11,0.000006,0.000069
apparently,1777,0.000927,0.006473
wrote,201,0.000105,0.000961
their,3387,0.001767,0.011198
vows,20,0.000010,0.000120
vetoed,16,0.000008,0.000098
them,2506,0.001307,0.008679
thought,1377,0.000718,0.005199
obrien,4812,0.002510,0.015028
henry,56,0.000029,0.000305
assistants,4,0.000002,0.000027
revealed,190,0.000099,0.000914
weird,244,0.000127,0.001142
kissinger,9,0.000005,0.000058
walk,149,0.000078,0.000735
behind,378,0.000197,0.001682
pick,254,0.000132,0.001183
deposits,7,0.000004,0.000046
dog,502,0.000262,0.002160
asked,1359,0.000709,0.005141
funny,143,0.000075,0.000709
several,226,0.000118,0.001066
key,88,0.000046,0.000459
staffers,44,0.000023,0.000245
visit,324,0.000169,0.001468
us,2139,0.001116,0.007585
minute,375,0.000196,0.001670
help,649,0.000339,0.002705
choose,72,0.000038,0.000383
cbs,359,0.000187,0.001607
plans,419,0.000219,0.001842
dukes,14,0.000007,0.000086
hazard,9,0.000005,0.000058
reunion,27,0.000014,0.000157
calling,575,0.000300,0.002433
inaugural,63,0.000033,0.000339
bad,1870,0.000975,0.006762
worst,283,0.000148,0.001302
foreign,309,0.000161,0.001408
trade,114,0.000059,0.000579
deficit,69,0.000036,0.000368
wasnt,609,0.000318,0.002559
indonesian,12,0.000006,0.000075
bribes,25,0.000013,0.000147
wouldnt,385,0.000201,0.001710
any,1362,0.000710,0.005150
money,1420,0.000741,0.005339
love,706,0.000368,0.002912
oregon,55,0.000029,0.000300
congressman,390,0.000203,0.001729
wes,5,0.000003,0.000034
guy,3255,0.001698,0.010829
lying,179,0.000093,0.000866
voters,510,0.000266,0.002190
against,860,0.000449,0.003458
law,402,0.000210,0.001776
lied,73,0.000038,0.000387
military,384,0.000200,0.001706
record,279,0.000146,0.001286
korea,318,0.000166,0.001444
stuff,386,0.000201,0.001714
really,2128,0.001110,0.007552
suspicious,115,0.000060,0.000583
heartwarming,3,0.000002,0.000021
sharing,12,0.000006,0.000075
foxhole,3,0.000002,0.000021
hey,1749,0.000912,0.006386
press,698,0.000364,0.002883
conference,436,0.000227,0.001908
commerce,29,0.000015,0.000168
william,84,0.000044,0.000440
daley,10,0.000005,0.000063
fell,187,0.000098,0.000901
stage,131,0.000068,0.000655
slipped,42,0.000022,0.000235
became,185,0.000096,0.000892
ducking,12,0.000006,0.000075
happened,595,0.000310,0.002507
mickey,16,0.000008,0.000098
wrong,395,0.000206,0.001749
drink,114,0.000059,0.000579
meant,87,0.000045,0.000454
diane,28,0.000015,0.000163
yesterday,2766,0.001443,0.009437
policy,324,0.000169,0.001468
speech,1558,0.000813,0.005782
theres,1605,0.000837,0.005932
simply,16,0.000008,0.000098
our,2308,0.001204,0.008093
politics,233,0.000122,0.001096
early,279,0.000146,0.001286
man,1500,0.000782,0.005597
windy,14,0.000007,0.000086
winds,53,0.000028,0.000290
here,2372,0.001237,0.008283
la,339,0.000177,0.001528
wrecking,3,0.000002,0.000021
everything,406,0.000212,0.001792
strong,120,0.000063,0.000606
blew,73,0.000038,0.000387
jogging,26,0.000014,0.000152
home,951,0.000496,0.003774
stains,28,0.000015,0.000163
knees,42,0.000022,0.000235
along,164,0.000086,0.000801
potomac,5,0.000003,0.000034
river,36,0.000019,0.000204
shock,62,0.000032,0.000334
didnt,1720,0.000897,0.006295
anything,545,0.000284,0.002321
else,297,0.000155,0.001359
slippery,7,0.000004,0.000046
favor,101,0.000053,0.000519
tv,635,0.000331,0.002654
rating,322,0.000168,0.001460
system,164,0.000086,0.000801
feels,129,0.000067,0.000646
need,605,0.000316,0.002544
rate,101,0.000053,0.000519
shows,516,0.000269,0.002212
sexual,217,0.000113,0.001028
content,44,0.000023,0.000245
couldnt,479,0.000250,0.002072
agree,119,0.000062,0.000601
wonderful,71,0.000037,0.000378
waste,55,0.000029,0.000300
valuable,23,0.000012,0.000136
flipping,16,0.000008,0.000098
dial,15,0.000008,0.000092
naked,192,0.000100,0.000922
open,257,0.000134,0.001195
outgoing,11,0.000006,0.000069
aide,61,0.000032,0.000329
getting,1639,0.000855,0.006040
million,1433,0.000747,0.005381
memoirs,51,0.000027,0.000280
bucks,133,0.000069,0.000664
understand,507,0.000264,0.002179
guys,1113,0.000581,0.004326
testify,88,0.000046,0.000459
before,1215,0.000634,0.004667
congress,1025,0.000535,0.004028
every,1155,0.000602,0.004467
remember,1169,0.000610,0.004514
recall,110,0.000057,0.000560
recollection,4,0.000002,0.000027
write,178,0.000093,0.000862
memory,33,0.000017,0.000189
recent,361,0.000188,0.001615
heard,1418,0.000740,0.005332
term,245,0.000128,0.001146
runs,107,0.000056,0.000547
may,1229,0.000641,0.004713
adopt,14,0.000007,0.000086
baby,252,0.000131,0.001175
seriously,145,0.000076,0.000718
republicans,1193,0.000622,0.004594
nominee,228,0.000119,0.001075
platform,42,0.000022,0.000235
